Department,total_hospitalizations,per_100k,total_deaths,per_100k
Ain,3716.00,564.00,640.00,97.00
Aisne,5666.00,1037.00,1143.00,209.00
Allier,2909.00,838.00,601.00,173.00
Alpes-de-Haute-P,1577.00,937.00,262.00,156.00
Alpes-Maritimes,9448.00,861.00,1687.00,154.00
Ardeche,2682.00,801.00,508.00,152.00
Ardennes,1615.00,577.00,381.00,136.00
Ariege,661.00,420.00,96.00,61.00
Aube,2505.00,790.00,452.00,143.00
Aude,1946.00,513.00,404.00,107.00
Aveyron,1434.00,495.00,253.00,87.00
Bas-Rhin,9541.00,836.00,1786.00,156.00
Bouches-du-Rhone,29907.00,1460.00,4042.00,197.00
Calvados,3625.00,512.00,643.00,91.00
Cantal,765.00,509.00,142.00,95.00
Charente,913.00,253.00,164.00,45.00
Charente-Maritim,1838.00,278.00,377.00,57.00
Cher,2170.00,697.00,520.00,167.00
Correze,1245.00,500.00,230.00,92.00
Corse-du-Sud,784.00,491.00,125.00,78.00
Cote-d'Or,5002.00,916.00,958.00,176.00
Cotes-du-Nord,1699.00,275.00,264.00,43.00
Creuse,727.00,595.00,99.00,81.00
Deux-Sevres,1535.00,399.00,270.00,70.00
Dordogne,1417.00,334.00,262.00,62.00
Doubs,3082.00,558.00,522.00,94.00
Drome,4012.00,765.00,806.00,154.00
Essonne,12421.00,948.00,1953.00,149.00
Eure,2632.00,428.00,510.00,83.00
Eure-et-Loir,3606.00,813.00,528.00,119.00
Finistere,1656.00,177.00,291.00,31.00
Gard,4324.00,571.00,731.00,96.00
Gers,659.00,333.00,109.00,55.00
Gironde,7661.00,477.00,1160.00,72.00
Haute-Corse,749.00,415.00,112.00,62.00
Haute-Garonne,7326.00,529.00,902.00,65.00
Haute-Loire,1645.00,702.00,266.00,114.00
Haute-Marne,1823.00,1009.00,384.00,212.00
Hautes-Alpes,1664.00,1141.00,268.00,184.00
Haute-Saone,1635.00,672.00,271.00,111.00
Haute-Savoie,6487.00,783.00,1068.00,129.00
Hautes-Pyrenees,1360.00,580.00,236.00,101.00
Haute-Vienne,1643.00,431.00,337.00,88.00
Haut-Rhin,8176.00,1051.00,1553.00,200.00
Hauts-de-Seine,18896.00,1162.00,2809.00,173.00
Herault,7174.00,617.00,1152.00,99.00
Ille-et-Vilaine,4819.00,444.00,748.00,69.00
Indre,1375.00,603.00,272.00,119.00
Indre-et-Loire,2878.00,465.00,515.00,83.00
Isere,10246.00,798.00,1851.00,144.00
Jura,2563.00,952.00,495.00,184.00
Landes,1290.00,307.00,259.00,62.00
Loire,7698.00,990.00,1420.00,183.00
Loire-Atlantique,5274.00,371.00,889.00,62.00
Loiret,4062.00,587.00,679.00,98.00
Loir-et-Cher,2079.00,611.00,335.00,98.00
Lot,592.00,330.00,109.00,61.00
Lot-et-Garonne,1186.00,348.00,194.00,57.00
Lozere,592.00,738.00,123.00,153.00
Maine-et-Loire,4390.00,527.00,728.00,87.00
Manche,2075.00,405.00,393.00,77.00
Marne,4728.00,814.00,922.00,159.00
Mayenne,1667.00,526.00,283.00,89.00
Meurthe-et-Mosel,6207.00,833.00,1235.00,166.00
Meuse,1829.00,950.00,382.00,198.00
Morbihan,2846.00,369.00,456.00,59.00
Moselle,10523.00,991.00,2463.00,232.00
Nievre,1477.00,694.00,336.00,158.00
Nord,22770.00,864.00,4037.00,153.00
Oise,6944.00,825.00,1425.00,169.00
Orne,2176.00,746.00,361.00,124.00
Pas-de-Calais,10789.00,724.00,1997.00,134.00
Puy-de-Dome,3738.00,559.00,778.00,116.00
Pyrenees-Atlanti,2900.00,417.00,512.00,74.00
Pyrenees-Orienta,2239.00,464.00,410.00,85.00
Rhone,20139.00,1077.00,3318.00,177.00
Saone-et-Loire,6104.00,1072.00,1124.00,197.00
Sarthe,3745.00,646.00,615.00,106.00
Savoie,3883.00,875.00,722.00,163.00
Seine-et-Marne,12112.00,853.00,2126.00,150.00
Seine-Maritime,8932.00,700.00,1625.00,127.00
Seine-Saint-Deni,17406.00,1068.00,2587.00,159.00
Somme,4369.00,750.00,978.00,168.00
Tarn,2056.00,516.00,409.00,103.00
Tarn-et-Garonne,1322.00,501.00,240.00,91.00
Territoire de Be,2973.00,2041.00,626.00,430.00
Val-d'Oise,12250.00,988.00,2098.00,169.00
Valle-de-Marne,18015.00,1290.00,3068.00,220.00
Var,8779.00,816.00,1638.00,152.00
Vaucluse,5677.00,995.00,966.00,169.00
Vendee,2127.00,307.00,307.00,44.00
Vienne,1721.00,385.00,284.00,64.00
Ville de Paris,27053.00,1227.00,4759.00,216.00
Vosges,3927.00,1036.00,875.00,231.00
Yonne,3151.00,908.00,614.00,177.00
Yvelines,11088.00,758.00,1914.00,131.00
